jp,en,tag,context,keywords,verified
充電できます,Charging stations available,Hotel,コンセント開放の案内に。,"充電, じゅうでん, charge, charging, battery, power, コンセント, outlet, USB, socket",False
お名前をご記入ください,Please write your name here,Hotel,ウェイティングリストの記入依頼に。,"名前, name, 記入, fill in, sign in, register, なまえ, check-in, registration",False
パスポートを見せてください,May I see your passport?,Hotel,宿泊台帳や免税の手続きに。,"パスポート, passport, ID, 提示, identity, identification, 旅券, りょけん, travel document",False
Wi-Fiパスワードはこちら,Wi-Fi password is here,Hotel,ネット環境の案内に。,"Wi-Fi, wifi, ワイファイ, internet, password, パスワード, connection, ネット, free wifi",False
チェックアウトは何時ですか？,What time is check-out?,Hotel,時間の確認に。,"チェックアウトは何時ですか？, What time is check-out?, what, time, check-out?, hotel",False
荷物を預けられますか？,Can I leave my luggage here?,Hotel,クロークサービスの案内に。,"荷物, luggage, baggage, 預かり, storage, keep, counter, cloak, cloakroom, にもつ",False
予約していますか？,Do you have a reservation?,Hotel,受付での最初の確認に。,"予約していますか？, Do you have a reservation?, you, have, reservation?, hotel",False
お名前を伺えますか？,"May I have your name, please?",Hotel,予約確認の際に。,"お名前を伺えますか？, May I have your name, please?, may, have, your, name, please?, hotel",False
エレベーターはあちらです,The elevator is over there,Hotel,館内案内に。,"エレベーターはあちらです, The elevator is over there, the, elevator, over, there, hotel",False
朝食は7時からです,Breakfast starts at 7 AM,Hotel,食事時間の説明に。,"朝食は7時からです, Breakfast starts at 7 AM, breakfast, starts, hotel",False
外出時は鍵を預けてください,Please leave your key at the desk,Hotel,外出時のルールに。,"外出時は鍵を預けてください, Please leave your key at the desk, please, leave, your, key, the, desk, hotel",False
大浴場,Public bath,Hotel,旅館やホテルの案内に。,"大浴場, Public bath, public, bath, hotel",False
露天風呂,Open-air bath,Hotel,温泉の案内に。,"露天風呂, Open-air bath, open-air, bath, hotel",False
かけ湯をしてください,Please rinse before entering,Hotel,温泉のマナー説明に。,"かけ湯をしてください, Please rinse before entering, please, rinse, before, entering, hotel",False
タオル持参,Please bring your own towel,Hotel,銭湯などの案内に。,"タオル持参, Please bring your own towel, please, bring, your, own, towel, hotel",False
刺青お断り,No tattoos allowed,Hotel,公共浴場のルールに。,"刺青お断り, No tattoos allowed, tattoos, allowed, hotel",False
サウナ,Sauna,Hotel,設備の案内に。,"サウナ, Sauna, sauna, hotel",False
貸切風呂,Private bath,Hotel,家族風呂などの案内に。,"貸切風呂, Private bath, private, bath, hotel",False
門限,Curfew,Hotel,夜間の入館制限に。,"門限, Curfew, curfew, hotel",False
